Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
SlayerofKings,0.397,0.929,2.0,-4.511,1.0,0.116,0.000596,0.000541,0.315,0.116,149.936,audio_features,0qoznAGKZOBgne7MiycPPc,spotify:track:0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/tracks/0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/audio-analysis/0qoznAGKZOBgne7MiycPPc,303787.0,4.0,celticmetal

MarchAgainsttheTyrant,0.434,0.884,7.0,-6.342,1.0,0.0687,0.00438,0.000676,0.27,0.216,89.967,audio_features,2xCPy6z5qUIwHMHyRBRVSx,spotify:track:2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/tracks/2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/audio-analysis/2xCPy6z5qUIwHMHyRBRVSx,562693.0,4.0,celticmetal

Ategnatos,0.48,0.969,4.0,-5.897,0.0,0.166,0.000107,0.00261,0.14,0.146,115.055,audio_features,2R9VjDWhLhQ6LsQBcmRBYK,spotify:track:2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/tracks/2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/audio-analysis/2R9VjDWhLhQ6LsQBcmRBYK,293547.0,4.0,celticmetal

FireandFlame,0.514,0.997,7.0,-4.297,1.0,0.121,1.18e-05,0.193,0.377,0.102,116.946,audio_features,7JToOyehVvHHHqxHPwS9La,spotify:track:7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/tracks/7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/audio-analysis/7JToOyehVvHHHqxHPwS9La,339413.0,4.0,celticmetal

ForgottenPaths,0.175,0.882,3.0,-6.123,1.0,0.11,0.00122,0.467,0.157,0.0556,174.579,audio_features,1mDupi4yX9KQ3Wh6oSYqNP,spotify:track:1mDupi4yX9KQ3Wh6oSYqNP,https://api.spotify.com/v1/tracks/1mDupi4yX9KQ3Wh6oSYqNP,https://api.spotify.com/v1/audio-analysis/1mDupi4yX9KQ3Wh6oSYqNP,664388.0,3.0,celticmetal

